core	from	to	thickness	type	event_id
VILL4	778	779	0.3	lahar	
VILL4	870	878	5.7	lahar	
CAL1	4	5	0.3	lahar	
CAL1	5	6	0.5	lahar	
CAL1	14	15	0.6	lahar	
CAL1	28	29	0.5	lahar	
CAL1	30	31	0.4	lahar	
CAL1	33	34	0.35		
CAL1	42	43	0.15	tephra	
CAL1	43	44	0.65	lahar	
CAL1	44	46	0.2	tephra	
CAL1	51	52	0.5	lahar	
CAL1			0.4	tephra	mc23
CAL1	65	67	0.55	lahar	
CAL1	68	70	0.4	lahar	
CAL1	71	72	0.5	lahar	
CAL1	73	74	0.6	lahar	
CAL1	80	82	0.4		
CAL1				tephra	milHojas
CAL1	121	123	0.4	lahar	
CAL1	136	141	0.4	lahar	
CAL1				tephra 	
CAL1			5.5	lahar	
CAL1	193	199	2	lahar	
CAL1	205	207	1	lahar	
CAL1	240	250	7.2	lahar	
CAL1	250	257	3	lahar	
CAL1	276	294	14	lahar	
CAL1			0.7	lahar	
CAL1	345	355	9.5	lahar	
CAL1	356	357	0.2	tephra	
CAL1	363	364	0.3	tephra	
CAL1	377	379	1.3	lahar	
CAL1			0.3	tephra	
CAL1	380	381	0.45	lahar	
CAL1	381	382	0.5	lahar	
CAL1	382	383	0.9	lahar	
CAL1	400	403	2.8	lahar	
CAL1	405	412	7.5	lahar	
CAL1	415	416	0.15	tephra	
CAL1	423	424	0.4	lahar	
CAL1	424	425	0.8	lahar	
CAL1	425	426	0.45	lahar	
CAL1	426	432	4.8	lahar	
CAL1	431	435	2.8	lahar	
CAL1	441	445	2.5	lahar-tephra	
CAL1			0.15	lahar	
CAL1			0.3	tephra	
CAL1	480	481	0.3	lahar	
CAL1	481	482	0.2	lahar	
CAL1	484	485	0.35	lahar	
CAL1	536	537	0.6	tephra	
CAL1			0.6	lahar	
CAL2	5	6	0.1	lahar	
CAL2	6	7	0.5	lahar	
CAL2	8	9	0.2	lahar	
CAL2	17	18	0.1	tephra	
CAL2	20	21	0.2	lahar	
CAL2	24	25	0.2	tephra	
CAL2	29	30	0.15	tephra	
CAL2	33	34	0.25	tephra	
CAL2	34	35	0.2	lahar	
CAL2	35	36	0.2	tephra	
CAL2	40	41	0.3	lahar	
CAL2	43	44	0.3	tephra	
CAL2	46	48	0.5	tephra	mc23
CAL2	50	51	0.2	lahar	
CAL2	51	52	0.2	lahar	
CAL2	54	55	0.4	lahar	
CAL2	76	78	1	tephra	milHojas
CAL2	89	90	0.2	tephra	
CAL2	93	94	0.4	lahar	
CAL2	112	124	1	tephra	
CAL2	117	121	2.8	lahar	
CAL2	128	131	0.3	lahar	
CAL2	134	137	0.3	lahar	
CAL2	152	153	0.7	lahar	
CAL2	154	157	0.5	lahar	
CAL2					
CAL2	173	174	0.2	tephra	
CAL2			0.6	lahar	
CAL2	206	207	0.4	tephra	
CAL2	210	213	1.1	lahar	
CAL2	213	214	0.15	tephra	
CAL2	222	223	0.4	lahar	
CAL2	223	224	0.25	tephra	
CAL2	224	225	0.4	lahar	
CAL2	224	225	0.2	lahar	
CAL2	225	226	0.2	lahar	
CAL2	228	229	0.15	tephra	
CAL2	231	232	0.2	lahar	
CAL2	232	233	0.4	lahar	
CAL2	236	237	0.1	lahar	
CAL2	239	240	0.15	tephra	
CAL2	246	247	0.5	lahar	
CAL2	247	248	0.35	lahar	
CAL2	261	266	5	tephra	
CAL2	268	269	0.2	lahar	
CAL2			0.2	tephra	
CAL2			0.4	lahar	
CAL2	313	314	0.2	tephra	
CAL2	326	327	0.2	tephra	
CAL2	332	333	0.45	tephra	pcc4
CAL2	338	341	2.3	tephra	
CAL2	343	344	0.25	lahar	
CAL2	343	344	0.2	lahar	
CAL2	344	345	0.4	tephra	
CAL2	346	347	0.1	tephra	
CAL2	347	348	0.4	tephra	
CAL2	348	349	0.15	tephra	
CAL2	352	353	0.35	tephra	
CAL2	360	361	0.1	lahar	
CAL2			7	lahar	
CAL2	377	378	0.3	lahar	
CAL2	396	397	0.3	tephra	hua1
CAL2	402	403	0.7	tephra	
CAL2	414	415	0.2	tephra	
CAL2	415	416	0.15	tephra	
CAL2	416	417	0.4	tephra	
CAL2	418	419	0.3	tephra	
CAL2	450	451	0.4	lahar	
CAL2	464	465	0.2	tephra	
CAL2	473	474	2.8	tephra	
CAL2	478	479	0.5	lahar	
CAL2	481	484	2.5	tephra	pcc_ranco
CAL2	516	518	2	lahar	
CAL2	518	519	0.8	tephra	
CAL2	531	532	0.2	tephra	
CAL2	547	548	0.2	tephra	
CAL2	555	556	0.3	tephra	
CAL2	572	575	0.3	tephra	
CAL2	581	582	0.5	lahar	
CAL2	587	594	3.5	tephra	
CAL2	595	600	0.4	tephra	
CAL2	601	602	0.4	lahar	
CAL2	602	603	0.2	lahar	
CAL2	603	604	0.15	lahar	
CAL2	604	606	0.9	lahar	pcc2
CAL2	621	623	0.4	lahar	
CAL2	645	647	0.6	lahar	
CAL2	647	648	0.15	tephra	
CAL2	648	650	1.8	lahar	
CAL2	659	660	0.15	lahar	
CAL2	681	685	1.4	tephra	
CAL2	722	723	0.3	tephra	
CAL2	732	734	0.4	lahar	
CAL2	785	786	0.15	lahar	
CAL2	788	789	0.25	lahar	
CAL2	801	802	0.4	lahar	
CAL2	837	838	0.2	lahar	
CAL2	842	844	1	lahar	
CAL2	877	878	0.4	lahar	
CAL2	880	882	0.4	tephra	
CAL2	888	892	4	tephra	
CAL2	897	899	0.2	lahar	
CAL2	914	916	0.7	tephra	
RIN2	48	48.2	0.2	tephra	
RIN2	54	54.1	0.1	tephra	achen
RIN2	73	73.1	0.1	tephra	
RIN2	92	93	1	tephra	milHojas
RIN2	121	121.1	0.1	tephra	
RIN2	125	125.5	0.5	tephra	
RIN2	162	162.3	0.3	tephra	
RIN2	186	186.2	0.2	tephra	
RIN2	189	190	1	tephra	
RIN2	203	295	92	tephra	mc15
RIN2	305	305.3	0.3	tephra	
RIN2	319	319.1	0.1	tephra	quet5
RIN2	327	327.7	0.7	tephra	
RIN2	334	334.1	0.1	tephra	
RIN2	354.5	354.6	0.1	tephra	
RIN2	364	364.7	0.7	tephra	
